model,mean_R2,mean_nRMSE,rank
Quadratic Ridge,0.9560790398851798,0.18723070934060404,1
Linear Ridge,0.9499084376430482,0.20631543054460824,2
Gradient Boosting,0.9476287500299573,0.20646006532921604,3
Random Forest,0.9479666053589345,0.2074267314712075,4
MLP,0.9485547303094636,0.20873885944015189,5
