column,min,max,mean,std,skew
Inlet Pressure (bar),2.009,7.998,4.9932696,1.7453080400255068,-0.008051640988651304
Outlet Pressure (bar),0.568,2.0,1.4607424,0.29690542665163633,-0.0017594346731346535
Cold Mass Fraction,0.2,0.8,0.49359759999999997,0.170108972424266,0.03544883131642064
Nozzle Diameter (mm),0.8,2.999,1.9101688000000001,0.6396984054431676,-0.006419522274822421
Tube Diameter (mm),8.014,19.998,13.977518,3.489466168131082,0.02245064045718799
Tube Length (mm),100.177,799.947,453.2297216,201.53637542132788,-0.04740168192968755
L/D Ratio,5.172,95.674,34.707169199999996,18.58732586703441,0.6542663066386072
Reynolds Number,30134.0,249971.0,142365.7088,63300.18131914959,-0.042706845637517095
Pressure Ratio,1.286,7.907,3.5147055999999997,1.3662106070067377,0.6730903278694075
Mach Number,0.5,1.309,0.8290772000000001,0.16314183934251086,0.30061555014165353
Swirl Number,0.301,1.499,0.905594,0.3430190857682414,-0.006553620829307085
Turbulence Intensity (%),1.001,11.996,6.472876800000001,3.1526359472333705,-0.007820131620091977
Shock Angle (deg),22.368,40.778,31.540536400000008,3.1404342840556363,0.007350503677420886
Shock Location (mm),20.0,298.965,145.869456,60.25680657116953,0.031354452303460935
Maximum Mach,0.338,1.702,0.9140552,0.2547741354553065,0.3259169963231052
Minimum Pressure (bar),0.446,1.968,1.3585812000000002,0.3031265981407113,0.002881667234297654
Shock Length (mm),6.876,41.694,26.628806400000002,5.94380535638279,-0.048138241461408104
Number of Shocks,1.0,6.0,1.8592,1.1120566658274418,1.572623792007393
Maximum Temperature (K),325.735,459.495,372.1838708,25.032320602996727,0.6362445782418154
Cold Exit Temperature (K),156.571,277.485,232.73072800000003,24.590808258077438,-0.6510553044564665
Hot Exit Temperature (K),325.799,493.101,388.34177400000004,30.482066704079372,0.6600030064681075
Pressure Drop (bar),0.617,7.431,3.8191016,1.718463675682234,0.07596799866924796
Entropy Generation,0.798,4.029,2.0390015999999997,0.5856946666091795,0.580196470898946
Shock Intensity,0.829,3.887,1.9714344000000001,0.5979556756923345,0.5795479454357552
Vorticity (1/s),655.213,1531.855,1097.8242516,195.38937271557904,-0.026110090056442988
Helicity(m/s2),84.974,1003.372,457.9756115999999,203.12527502970343,0.3345590345332136
Q-Criterion(1/s2),27612.751,49766.263,38629.8343456,4127.768697266305,-0.002910397594462807
Turbulent Kinetic Energy(m2/s2),3.831,14.859,9.044388399999999,2.0131396171136875,-0.029252469759665712
Eddy Dissipation Rate(m2/s3),12.009,44.98,29.188679999999998,6.3700409042681025,-0.03311850020192187
Circulation(m2/s),0.769,11.505,5.3854572,1.7593864436306692,0.34255405915003995
Swirl Velocity (m/s),84.734,140.698,113.38120040000003,10.46956024215466,0.004369768913988581
Axial Velocity (m/s),106.577,152.322,127.61798080000003,6.823908135410937,0.10299402670807783
Tangential Velocity (m/s),130.101,225.472,175.66857439999998,16.79222278960562,0.004594010454927334
Radial Pressure Gradient (kPa/m),66.681,130.333,90.495676,10.68134508901329,0.5678436155188634
Vortex Core Radius (mm),0.857,4.05,2.4895012,0.658224785575489,0.011196803136151347
