target,model,test_R2,fidelity_score,mean_nMAE_resolvable,sign_agree_resolvable,n_good,n_poor,mach_grade,mach_nMAE
Vorticity,Quadratic Ridge,0.9897569652657083,0.9762732457200182,0.023726754279981818,1.0,2,0,unresolved,1.06354242290359
Vorticity,Random Forest,0.9868707490166151,0.7336726866687101,0.26632731333128995,1.0,2,0,unresolved,0.9398722686251075
Vorticity,Gradient Boosting,0.9874532078016353,0.7889670847833921,0.21103291521660786,1.0,2,0,unresolved,0.9984852212742845
Helicity,Quadratic Ridge,0.983241520616255,0.8800294133247795,0.11997058667522062,1.0,2,0,unresolved,0.6997867718863353
Helicity,Random Forest,0.9777401631231689,0.6758564651347005,0.3241435348652995,0.993,1,0,unresolved,0.9317487559687586
Helicity,Gradient Boosting,0.9792724207092462,0.7296750148869625,0.27032498511303754,0.995,1,0,unresolved,0.8534771929241299
Q-Criterion,Quadratic Ridge,0.9049811498638275,0.9206630155084699,0.0793369844915301,1.0,2,0,unresolved,0.8454026965157098
Q-Criterion,Random Forest,0.8970174481400345,0.6020640105975184,0.39793598940248165,0.984,1,0,unresolved,0.921649552819498
Q-Criterion,Gradient Boosting,0.8927681709600213,0.6712163147764713,0.32878368522352874,1.0,1,0,unresolved,0.9218412423337725
