target,model,fold,R2,RMSE,MAE,nRMSE,Bias
Vorticity,Linear Ridge,0,0.9892922090163139,19.265589845522033,15.197083476040225,0.10347845661627403,-1.75090852739734
Vorticity,Linear Ridge,1,0.9887034320643018,20.741479242693497,16.174824757628908,0.10628531382885517,1.6253966330725769
Vorticity,Linear Ridge,2,0.9892100156658924,20.824381724471593,16.75721344337628,0.1038748493818768,1.4480617427540345
Vorticity,Linear Ridge,3,0.9890391143511842,20.350879840223367,16.07306605050851,0.10469424840370073,-1.3190207143017012
Vorticity,Linear Ridge,4,0.9893855208586623,19.69526280920225,15.621851081569876,0.10302659434018831,0.11502187266710734
Vorticity,Quadratic Ridge,0,0.988548422029036,19.923472503829515,15.751731818209688,0.10701204591523303,-1.8108770549297708
Vorticity,Quadratic Ridge,1,0.9878955688841076,21.470326985202234,16.814187225391763,0.1100201395922241,2.1158166269252963
Vorticity,Quadratic Ridge,2,0.9885190842918483,21.480776339793447,17.260673684126292,0.10714903503136036,1.6395554603960014
Vorticity,Quadratic Ridge,3,0.9884784870776422,20.86484305078674,16.304073025296052,0.1073383105995146,-1.0085079402184995
Vorticity,Quadratic Ridge,4,0.9895793402473384,19.514617547322345,15.587486548634033,0.10208163278798792,-0.30698117431967376
Vorticity,Random Forest,0,0.9832368020623056,24.105203606198383,19.16385448927813,0.1294727690971905,-0.8677755318178174
Vorticity,Random Forest,1,0.9835832738618965,25.004014592581843,19.318088188898066,0.12812777270406117,1.5268647977974161
Vorticity,Random Forest,2,0.9837490621213366,25.55647338946065,20.04595547933029,0.1274791664495157,1.0652263728767977
Vorticity,Random Forest,3,0.9839999456241516,24.58788062183407,19.78293325940603,0.12649132134596602,-1.1414713172823816
Vorticity,Random Forest,4,0.9854765078511363,23.03816919620778,18.550182372940217,0.12051345214897695,-0.04829526998849095
Vorticity,Gradient Boosting,0,0.9849411668549499,22.8469393173644,18.01508329662307,0.12271443739450566,-1.0311006683475565
Vorticity,Gradient Boosting,1,0.9848799183585643,23.996258684399653,18.595280005587636,0.12296374116557975,2.1255239049595884
Vorticity,Gradient Boosting,2,0.9845881084672191,24.887981823676522,19.74915323886383,0.12414463956522989,2.081225785734683
Vorticity,Gradient Boosting,3,0.9855837762746137,23.33920847621836,18.512360107574306,0.12006757982647218,-1.9782609965854037
Vorticity,Gradient Boosting,4,0.9857875741161287,22.790116371660464,18.478756539420914,0.11921587932767733,0.23222260603355419
Vorticity,MLP,0,0.9817384968248463,25.159420233439988,19.87832410262993,0.13513512931563618,-2.558085585499958
Vorticity,MLP,1,0.9826433062637147,25.709875118461344,20.153126946740645,0.13174480534839061,1.6341013788440402
Vorticity,MLP,2,0.982760071049429,26.32264003839176,20.82359168322365,0.13130090993809249,2.2059097402875634
Vorticity,MLP,3,0.9838002987010341,24.740807488022067,20.16884324017099,0.12727804719968763,-2.45699233256685
Vorticity,MLP,4,0.9824467414104864,25.32744096422449,20.167730567355346,0.1324887111776457,-2.3154727925496843
Helicity,Linear Ridge,0,0.9601831338697311,39.743997766927585,31.24236948216087,0.1995416400911571,2.2178172900094832
Helicity,Linear Ridge,1,0.9635132656930073,39.69410078884135,31.485416046601294,0.19101501068500523,-0.6553344224764814
Helicity,Linear Ridge,2,0.958565435900728,40.616885724270595,31.929442774872925,0.20355481841330123,-2.5598037271140233
Helicity,Linear Ridge,3,0.9607474163334111,39.63867768304835,31.829937418485496,0.19812264804052296,-1.0978456232065545
Helicity,Linear Ridge,4,0.9571097207696818,40.40947704662691,31.990782961318608,0.20709968428348258,2.244600146744812
Helicity,Quadratic Ridge,0,0.9801686996077985,28.048756277481168,21.969990914361368,0.14082364997471666,1.4279362580557882
Helicity,Quadratic Ridge,1,0.9843505589151295,25.99608131300695,20.667039425270698,0.12509772613789025,0.519742117728091
Helicity,Quadratic Ridge,2,0.9798335499269065,28.336092506998366,22.718244901158357,0.14200862675588946,-0.4377646309105222
Helicity,Quadratic Ridge,3,0.982336597395563,26.59023761753192,21.115453454756548,0.13290373435098435,-1.6388479601657717
Helicity,Quadratic Ridge,4,0.9798138380211453,27.722390082711765,22.67156101238834,0.14207801370674747,0.0775463188908831
Helicity,Random Forest,0,0.9752257380169874,31.35005991686002,24.997721913722508,0.1573984179812892,1.2618389321257046
Helicity,Random Forest,1,0.979043445080605,30.082811050031165,24.146875732796232,0.14476379008369086,0.47867042249398783
