target,feature,rmse_increase,rmse_increase_sd,share_pct
Vorticity,Inlet Pressure,1.7802177684434484,0.24798444014334364,0.521481251880116
Vorticity,Outlet Pressure,1.1664456096497842,0.20556267960637342,0.34168826283656856
Vorticity,Cold Mass Fraction,0.011185459611982473,0.1241679758863545,0.003276569633619176
Vorticity,Nozzle Diameter,0.044725340491921096,0.09243802003435918,0.013101445769123253
Vorticity,Tube Diameter,0.5543643976624134,0.1172844620545756,0.16239060479860906
Vorticity,Tube Length,0.6325890146611177,0.2951409299104115,0.18530503241720003
Vorticity,L/D Ratio,1.5640434320962047,0.2897700685070879,0.45815705326744777
Vorticity,Reynolds Number,238.95593799853458,6.463075638949991,69.99763955879293
Vorticity,Pressure Ratio,4.061879524274229,0.6104632467671793,1.1898510715106496
Vorticity,Mach Number,6.776030151164174,0.6067489174083818,1.9849103568357933
Vorticity,Swirl Number,85.82971845362545,2.1767717378381795,25.142198792257656
Vorticity,Turbulence Intensity,-0.03577265465410644,0.07244653513104551,0.0
Helicity,Inlet Pressure,1.9688158036642496,0.36528758721277876,0.5930047001631558
Helicity,Outlet Pressure,0.4404083272480902,0.26072412073742934,0.13265040211636178
Helicity,Cold Mass Fraction,0.04838223194372393,0.13458398213145759,0.014572663879279303
Helicity,Nozzle Diameter,0.023664322883247556,0.10435497896927944,0.0071276625623518395
Helicity,Tube Diameter,0.5274870789464595,0.18399703852224497,0.158878406252334
Helicity,Tube Length,0.8977060210014383,0.2332758792675647,0.27038785894945017
Helicity,L/D Ratio,2.682095930212429,0.4370137541616836,0.8078437251185717
Helicity,Reynolds Number,81.73645926064384,2.291055915395703,24.618912762710586
Helicity,Pressure Ratio,2.469420891165464,0.4250110760334477,0.7437862863640113
Helicity,Mach Number,5.093424939016328,0.5689471074051503,1.5341328138180685
Helicity,Swirl Number,236.10494188369267,5.715216083942026,71.1144943108427
Helicity,Turbulence Intensity,0.013972197262949137,0.1022306266869075,0.0042084072228163565
Q-Criterion,Inlet Pressure,24.104647084589736,10.671623314797985,0.4249228207749676
Q-Criterion,Outlet Pressure,9.643951692132998,8.145702839628445,0.1700060217458447
Q-Criterion,Cold Mass Fraction,-3.8567860313558753,5.050402470616764,0.0
Q-Criterion,Nozzle Diameter,4.82150089924188,5.598743311197836,0.08499463839006763
Q-Criterion,Tube Diameter,11.598377004759959,10.450380251585022,0.20445912590957993
Q-Criterion,Tube Length,20.04666795394985,8.212215295462606,0.3533877374034369
Q-Criterion,L/D Ratio,39.16452540228204,9.640051633400477,0.6904021680902284
Q-Criterion,Reynolds Number,3425.7244989125065,115.93580657907643,60.38953867142213
Q-Criterion,Pressure Ratio,19.89707014556376,12.104300271653878,0.3507505893672887
Q-Criterion,Mach Number,127.86882421173186,24.04642541205853,2.2541040025416472
Q-Criterion,Swirl Number,1982.1948887502792,83.39723991034768,34.942633281362866
Q-Criterion,Turbulence Intensity,7.646869028037417,5.573465314290492,0.13480094299193088
