target,model,bin,swirl_mean,value
Vorticity,TRUE,0,0.44801818181818187,1000.4413181818181
Vorticity,Quadratic Ridge,0,0.44801818181818187,999.6403721814526
Vorticity,Linear Ridge,0,0.44801818181818187,999.0810919827982
Vorticity,Random Forest,0,0.44801818181818187,1003.6106622279317
Vorticity,Gradient Boosting,0,0.44801818181818187,1001.3703211107214
Vorticity,TRUE,1,0.7141818181818183,1029.2354545454546
Vorticity,Quadratic Ridge,1,0.7141818181818183,1030.2162143008466
Vorticity,Linear Ridge,1,0.7141818181818183,1031.4667830529681
Vorticity,Random Forest,1,0.7141818181818183,1031.2222546520334
Vorticity,Gradient Boosting,1,0.7141818181818183,1032.0944906999991
Vorticity,TRUE,2,0.9504636363636364,1122.407509090909
Vorticity,Quadratic Ridge,2,0.9504636363636364,1120.4062491438256
Vorticity,Linear Ridge,2,0.9504636363636364,1120.8376911569412
Vorticity,Random Forest,2,0.9504636363636364,1119.915220784852
Vorticity,Gradient Boosting,2,0.9504636363636364,1121.2791949900916
Vorticity,TRUE,3,1.1531495327102803,1189.3853177570095
Vorticity,Quadratic Ridge,3,1.1531495327102803,1189.7670662736307
Vorticity,Linear Ridge,3,1.1531495327102803,1188.6673722654655
Vorticity,Random Forest,3,1.1531495327102803,1168.9774009975547
Vorticity,Gradient Boosting,3,1.1531495327102803,1177.847295404509
Vorticity,TRUE,4,1.2048636363636362,1163.1199363636363
Vorticity,Quadratic Ridge,4,1.2048636363636362,1160.508820518031
Vorticity,Linear Ridge,4,1.2048636363636362,1158.7194190565874
Vorticity,Random Forest,4,1.2048636363636362,1128.162528977615
Vorticity,Gradient Boosting,4,1.2048636363636362,1136.2808707423737
Vorticity,TRUE,5,1.2555636363636367,1182.7603363636365
Vorticity,Quadratic Ridge,5,1.2555636363636367,1184.77836613641
Vorticity,Linear Ridge,5,1.2555636363636367,1182.5594374191899
Vorticity,Random Forest,5,1.2555636363636367,1142.3314978360293
Vorticity,Gradient Boosting,5,1.2555636363636367,1151.2288299697911
Vorticity,TRUE,6,1.3123214285714286,1154.8977142857143
Vorticity,Quadratic Ridge,6,1.3123214285714286,1154.992074597083
Vorticity,Linear Ridge,6,1.3123214285714286,1150.6005730940394
Vorticity,Random Forest,6,1.3123214285714286,1097.2320011661966
Vorticity,Gradient Boosting,6,1.3123214285714286,1105.053844309996
Vorticity,TRUE,7,1.3685727272727273,1228.5031363636365
Vorticity,Quadratic Ridge,7,1.3685727272727273,1229.1163656823924
Vorticity,Linear Ridge,7,1.3685727272727273,1224.4950102925354
Vorticity,Random Forest,7,1.3685727272727273,1159.4634841742043
Vorticity,Gradient Boosting,7,1.3685727272727273,1168.1524223102224
Vorticity,TRUE,8,1.4265727272727273,1208.9783363636363
Vorticity,Quadratic Ridge,8,1.4265727272727273,1212.1389450034972
Vorticity,Linear Ridge,8,1.4265727272727273,1207.0932681385536
Vorticity,Random Forest,8,1.4265727272727273,1129.8044805256734
Vorticity,Gradient Boosting,8,1.4265727272727273,1138.2202123242705
Vorticity,TRUE,9,1.4776909090909094,1212.5707636363636
Vorticity,Quadratic Ridge,9,1.4776909090909094,1214.5776003079973
Vorticity,Linear Ridge,9,1.4776909090909094,1208.514278398686
Vorticity,Random Forest,9,1.4776909090909094,1119.6808458426406
Vorticity,Gradient Boosting,9,1.4776909090909094,1128.157935441017
Helicity,TRUE,0,0.44801818181818187,217.1738272727273
Helicity,Quadratic Ridge,0,0.44801818181818187,219.22638687452604
Helicity,Linear Ridge,0,0.44801818181818187,218.6454391780221
Helicity,Random Forest,0,0.44801818181818187,219.1231693762888
Helicity,Gradient Boosting,0,0.44801818181818187,219.61850594592275
Helicity,TRUE,1,0.7141818181818183,339.8625545454545
Helicity,Quadratic Ridge,1,0.7141818181818183,339.6867334465331
Helicity,Linear Ridge,1,0.7141818181818183,345.0850723946529
Helicity,Random Forest,1,0.7141818181818183,338.3056222926515
Helicity,Gradient Boosting,1,0.7141818181818183,338.8128138934882
Helicity,TRUE,2,0.9504636363636364,477.9752727272726
Helicity,Quadratic Ridge,2,0.9504636363636364,475.5688236360297
Helicity,Linear Ridge,2,0.9504636363636364,474.08675907929893
Helicity,Random Forest,2,0.9504636363636364,478.6624483988182
Helicity,Gradient Boosting,2,0.9504636363636364,476.2306209842731
Helicity,TRUE,3,1.1531495327102803,604.4927476635514
Helicity,Quadratic Ridge,3,1.1531495327102803,602.5013118722295
Helicity,Linear Ridge,3,1.1531495327102803,582.7387732973243
Helicity,Random Forest,3,1.1531495327102803,571.563783776682
Helicity,Gradient Boosting,3,1.1531495327102803,579.9388368560923
Helicity,TRUE,4,1.2048636363636362,620.2927181818183
Helicity,Quadratic Ridge,4,1.2048636363636362,613.7461542380815
Helicity,Linear Ridge,4,1.2048636363636362,598.3661636336922
Helicity,Random Forest,4,1.2048636363636362,554.4703995718241
Helicity,Gradient Boosting,4,1.2048636363636362,561.387304067285
Helicity,TRUE,5,1.2555636363636367,653.7073727272727
Helicity,Quadratic Ridge,5,1.2555636363636367,651.1359249983434
Helicity,Linear Ridge,5,1.2555636363636367,627.2301229687178
Helicity,Random Forest,5,1.2555636363636367,559.6649850614357
Helicity,Gradient Boosting,5,1.2555636363636367,569.6615789849793
Helicity,TRUE,6,1.3123214285714286,664.1384107142857
Helicity,Quadratic Ridge,6,1.3123214285714286,661.7313254368754
Helicity,Linear Ridge,6,1.3123214285714286,642.9172908826688
