target,model,Bias_extrapolation,Bias_in-range,R2_extrapolation,R2_in-range,RMSE_extrapolation,RMSE_in-range,RMSE_ratio_extrap_over_in
Helicity,Gradient Boosting,-125.7961850922192,0.21797351352365144,-0.44555671134385655,0.9562656911392723,146.7841165767397,29.139431345989003,5.037302026724152
Helicity,Linear Ridge,-33.132408153447905,-0.10485962390894893,0.7176433701907636,0.9479917349808622,64.87247852691048,31.77650446537772,2.041523434322132
Helicity,Quadratic Ridge,-3.82485926062787,0.07333877693848154,0.9464611715793876,0.9628556815702207,28.24853487820321,26.854442160354736,1.0519129278323485
Helicity,Random Forest,-134.91067599102408,0.363029637167695,-0.6100788106222639,0.9552650009021666,154.9120008898007,29.47091737891448,5.256436333421891
Q-Criterion,Gradient Boosting,-1728.989305849042,53.659041541070756,0.5569510783542542,0.8698697476267454,2367.670825309732,1391.090745843847,1.7020247114601312
Q-Criterion,Linear Ridge,-513.2684531882053,45.142336343287255,0.8589003305592117,0.8936554728933434,1336.1600389340815,1257.5460506987667,1.0625138047164413
Q-Criterion,Quadratic Ridge,96.11549021057122,21.27915143405265,0.8593868842925094,0.8867873137928719,1333.8543103926197,1297.5194389534995,1.0280033349391866
Q-Criterion,Random Forest,-1851.1279775605474,70.14319649854284,0.541674197521631,0.8764527181098898,2408.1450074380846,1355.448193331498,1.7766411282154637
Vorticity,Gradient Boosting,-48.93487544702431,0.7079356312809151,0.8948883613375409,0.9855202942821529,58.60935842151394,23.32874193895523,2.512324006792916
Vorticity,Linear Ridge,-2.872597801119574,-0.2018565049566329,0.9880064088199545,0.9891306512243218,19.79776589818733,20.21218262420669,0.9794966860470059
Vorticity,Quadratic Ridge,0.7879776325355784,-0.4998377640299817,0.9868330205131076,0.9883866769117439,20.74362455782319,20.89246606952623,0.9928758284824911
Vorticity,Random Forest,-57.397838732363766,0.3331121561230462,0.8669058499013816,0.9853621377977668,65.95094876218307,23.455801546359496,2.81171157727582
