target,feature,mean_abs_shap,share_pct
Vorticity,Inlet Pressure,3.3848959261324834,1.391673744659549
Vorticity,Outlet Pressure,1.537248620516885,0.6320278646297517
Vorticity,Cold Mass Fraction,0.8785557642451631,0.3612113982234867
Vorticity,Nozzle Diameter,0.7554792221952149,0.3106094311638661
Vorticity,Tube Diameter,1.2995238241216476,0.5342891557248092
Vorticity,Tube Length,1.769779691556134,0.7276312135789865
Vorticity,L/D Ratio,1.705522990607182,0.7012125686396513
Vorticity,Reynolds Number,156.07204500255176,64.16781255474078
Vorticity,Pressure Ratio,4.0494494095084,1.6648997625102706
Vorticity,Mach Number,6.889389166897535,2.8325189989720125
Vorticity,Swirl Number,63.58516680370043,26.142548876418356
Vorticity,Turbulence Intensity,1.297761113096032,0.5335644307384863
Helicity,Inlet Pressure,2.8132271466744045,1.1485915599940686
Helicity,Outlet Pressure,1.9724581063019553,0.8053202301913227
Helicity,Cold Mass Fraction,1.3084478488111697,0.5342164274269472
Helicity,Nozzle Diameter,1.8042556245711938,0.7366460916261551
Helicity,Tube Diameter,1.6026816515276,0.6543469554095729
Helicity,Tube Length,2.330285225156084,0.9514147996037848
Helicity,L/D Ratio,3.3045775763507117,1.3492013675571775
Helicity,Reynolds Number,59.17982743397565,24.162090996783967
Helicity,Pressure Ratio,2.8704932512737082,1.1719723113472797
Helicity,Mach Number,8.773523908761769,3.5820767352264737
Helicity,Swirl Number,157.8621089461857,64.45234477166036
Helicity,Turbulence Intensity,1.106532107458699,0.4517777531728789
Q-Criterion,Inlet Pressure,141.8639248571637,2.5127901183087813
Q-Criterion,Outlet Pressure,97.30973870001381,1.723616134734741
Q-Criterion,Cold Mass Fraction,49.274325335117794,0.8727802921925409
Q-Criterion,Nozzle Diameter,54.19033912949454,0.9598560649544825
Q-Criterion,Tube Diameter,96.26049906215624,1.7050312901634312
Q-Criterion,Tube Length,74.73562075587236,1.3237680369418146
Q-Criterion,L/D Ratio,73.01351891701304,1.293265000403357
Q-Criterion,Reynolds Number,2701.8644206736894,47.85725633993758
Q-Criterion,Pressure Ratio,125.55558039057686,2.2239256528509457
Q-Criterion,Mach Number,339.8817916843997,6.020216967756592
Q-Criterion,Swirl Number,1833.1111063888143,32.46930802551589
Q-Criterion,Turbulence Intensity,58.612595789166456,1.0381860762398545
