target,coverage_in_range,coverage_extrapolation,nominal
Vorticity,0.9101449275362319,0.9018567639257294,0.9
Helicity,0.936231884057971,0.8859416445623343,0.9
Q-Criterion,0.9014492753623189,0.9124668435013262,0.9
