target,nominal,empirical_coverage,half_width,mean_width,width_over_target_sd
Vorticity,0.9,0.91,34.09657744356991,68.19315488713983,0.33967789772353313
Helicity,0.9,0.926,45.21525910087678,90.43051820175356,0.44127539324589027
Q-Criterion,0.9,0.9,2136.974758180004,4273.949516360008,1.0053766221762857
