target,additivity_max_abs_err,brute_force_max_abs_diff
Vorticity,4.547473508864641e-13,1.4210854715202004e-13
Helicity,3.410605131648481e-13,8.526512829121202e-14
Q-Criterion,7.275957614183426e-12,9.094947017729282e-13
