target,feature,ref_mean_abs,ref_snr,resolvable,corr,sign_agree,nMAE,slope_ratio,grade
Vorticity,Inlet Pressure,7.404392316548425,0.33688058506883634,False,0.3090974691999382,0.646,1.0924177171464535,1.2262334461568476,unresolved
Vorticity,Outlet Pressure,4.5606411334446975,0.3241728958698319,False,0.19873440768979564,0.578,1.1118421503498122,-0.21848727158534195,unresolved
Vorticity,Cold Mass Fraction,2.206631804452066,0.3499912813521366,False,0.32964490594748685,0.588,1.1145410414055323,0.8406353095502935,unresolved
Vorticity,Nozzle Diameter,2.093465126592735,0.3071143620367097,False,0.27294781709059085,0.582,1.1034041461687576,1.0175427877463665,unresolved
Vorticity,Tube Diameter,4.5293987290501425,0.3510096606029859,False,0.16873790970650293,0.572,1.0906808165457218,1.1297557424717994,unresolved
Vorticity,Tube Length,6.91110571736688,0.3354412468401854,False,0.12817076191305526,0.518,1.0814948604724697,0.0005158980015281197,unresolved
Vorticity,L/D Ratio,8.055094802277859,0.3183308734774514,False,0.10244868808240551,0.524,1.0698885087348713,-0.19878112774741602,unresolved
Vorticity,Reynolds Number,175.11760108285264,31.872169217459646,True,0.31708217585178133,1.0,0.015046025684215321,1.0081105417433063,good
Vorticity,Pressure Ratio,8.476092291840668,0.3306926618869815,False,0.2365369596293989,0.61,1.3050102684996594,0.42219684446730976,unresolved
Vorticity,Mach Number,9.351979883248056,0.37831835226961064,False,0.3250268464011981,0.69,1.06354242290359,1.2236906133402503,unresolved
Vorticity,Swirl Number,74.20297143960211,13.7227833356242,True,0.2827328096805931,1.0,0.032407482875748315,1.0059484466535327,good
Vorticity,Turbulence Intensity,2.355842266792273,0.3706591928658587,False,0.40294700189568805,0.64,1.1940419951621721,-0.002316133504513309,unresolved
Helicity,Inlet Pressure,10.177865734914315,0.289188376317117,False,0.22030846044720703,0.586,1.024585683692066,0.173424908621482,unresolved
Helicity,Outlet Pressure,6.397242783561257,0.3034019927160817,False,0.26625208376070425,0.616,1.0287386845319684,-0.7251829523539998,unresolved
Helicity,Cold Mass Fraction,3.422649499462386,0.3367384769924935,False,0.36066052235574647,0.622,1.0318499613562355,0.6410023909021577,unresolved
Helicity,Nozzle Diameter,3.7687115611136157,0.3622743039484331,False,0.4539603459657167,0.668,0.9364271161662677,1.116908508271131,unresolved
Helicity,Tube Diameter,6.169270749595257,0.28738664120704405,False,0.1081921464443148,0.56,1.0773647029151587,-0.04395615008939933,unresolved
Helicity,Tube Length,10.050763923398708,0.3128497503656964,False,0.08549478524340642,0.562,1.0657806781472372,-0.11379412917624271,unresolved
Helicity,L/D Ratio,10.91572810713792,0.2583094305833469,False,0.132591253362224,0.572,1.0823861161832695,-0.06775552073081505,unresolved
Helicity,Reynolds Number,66.00182898741704,7.376122365496633,True,0.9585388325528614,1.0,0.15772310283877233,1.0107259173510437,good
Helicity,Pressure Ratio,11.582496077055858,0.2884374396148204,False,0.2495146939998062,0.564,1.049280322225593,-0.08773295976489529,unresolved
Helicity,Mach Number,17.742141351195503,0.49771508985518265,False,0.21823946250335716,0.806,0.6997867718863353,0.6875425298578184,unresolved
Helicity,Swirl Number,184.45825711615404,21.338794871125568,True,0.955198100075798,1.0,0.08221807051166889,1.0033866953502875,good
Helicity,Turbulence Intensity,3.146956770100117,0.2982272040689962,False,0.1130308457505152,0.528,1.1384621440347884,-0.29597888591223526,unresolved
Q-Criterion,Inlet Pressure,463.1375543284875,0.3194619095593055,False,0.04414778299400322,0.572,1.0587493091745783,0.6705077725835138,unresolved
Q-Criterion,Outlet Pressure,303.92554385064585,0.35195499829288723,False,0.17164670106067675,0.556,1.0881181268070603,0.2075889894892,unresolved
Q-Criterion,Cold Mass Fraction,151.1233586402822,0.374146609801867,False,0.27865633352384966,0.6,1.0449629976749721,-0.8960048095312411,unresolved
Q-Criterion,Nozzle Diameter,141.22519289119552,0.333212299929874,False,0.3589143550071626,0.63,1.0534362147480458,-2.387795702470171,unresolved
Q-Criterion,Tube Diameter,285.03024446171776,0.33135002389377466,False,0.4013060550309217,0.642,0.9419449608309476,-0.05237240575052944,unresolved
Q-Criterion,Tube Length,373.46739172646767,0.29081476030169845,False,0.14446255386320053,0.556,1.0358679083208375,0.6133430787111154,unresolved
Q-Criterion,L/D Ratio,467.0917083062184,0.2988081209607724,False,0.21718168371385313,0.588,0.9756343497862743,0.7141120223156461,unresolved
Q-Criterion,Reynolds Number,3081.4753702800344,8.734029754431084,True,0.1739278902690571,1.0,0.04841221893514159,0.9911910991887355,good
Q-Criterion,Pressure Ratio,489.4648023494207,0.30682296285405075,False,0.123046655597257,0.57,1.0519238809769333,-1.3468853312803177,unresolved
Q-Criterion,Mach Number,667.917166600232,0.44183075324648724,False,0.0519522912425272,0.75,0.8454026965157098,0.8718843047765547,unresolved
Q-Criterion,Swirl Number,2173.564395634461,6.2289820533616655,True,0.5970881017574616,1.0,0.1102617500479186,0.9849804613877399,good
Q-Criterion,Turbulence Intensity,152.45922919907244,0.3523145625617251,False,0.29997531285108936,0.602,1.0870725425794687,0.16603067674393585,unresolved
