target,model,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,nRMSE_mean
Helicity,Gradient Boosting,0.9764195775626636,0.0022328351697185906,30.715616747497545,1.0371004258849839,24.63402866262944,0.1534197688708016
Helicity,Linear Ridge,0.9600237945133119,0.0024157846711351234,40.02062780194296,0.45709878716504543,31.69558973668784,0.19986676030269382
Helicity,MLP,0.9734091309747888,0.0032560339973412202,32.586897104984985,1.4740989624636638,26.09738857163947,0.16281423592488847
Helicity,Quadratic Ridge,0.9813006487733086,0.0020012143546041055,27.338711559546034,1.001125702115234,21.82845794158706,0.13658235018524562
Helicity,Random Forest,0.9755927672974956,0.002003880254122371,31.253410970993627,0.6710102970072765,25.075237814354402,0.15611757140889398
Q-Criterion,Gradient Boosting,0.8813105637129132,0.012195433137424107,1398.1084550311093,53.15006917702335,1122.1613899289273,0.3441391716609536
Q-Criterion,Linear Ridge,0.900575460024562,0.01223771907226609,1279.2583539876643,75.03393690539254,1030.4622782160357,0.31480763881695195
Q-Criterion,MLP,0.8895772771036998,0.012957148312902324,1348.4919066812022,77.51903170053707,1082.7914905558057,0.3318128217996766
Q-Criterion,Quadratic Ridge,0.8983322903762364,0.011913515806389146,1293.928383782461,73.87707876910966,1039.2893124607644,0.31838954505130246
Q-Criterion,Random Forest,0.8842979304751424,0.012420604087098743,1380.6576635547406,68.0168181159655,1110.3982998304953,0.33974572665558644
Vorticity,Gradient Boosting,0.985156108814295,0.000506644227253601,23.57210093466388,0.8807738693771601,18.670126637613954,0.12182125545589295
Vorticity,Linear Ridge,0.9891260583912709,0.00026839704939830627,20.17551869242255,0.6765172449336201,15.964807761824762,0.10427189251417901
Vorticity,MLP,0.982677782849902,0.0007422331511074703,25.45203676850793,0.5982111476518472,20.238323308024114,0.13158952059589052
Vorticity,Quadratic Ridge,0.9886041805059944,0.000608115154217699,20.650807285386854,0.8980834432103924,16.343630460331564,0.10672023278526402
Vorticity,Random Forest,0.9840091183041654,0.0008658465951450442,24.458348281256544,0.9568214173725169,19.37220275797055,0.12641689634914205
