target,feature,VIF,R2_vs_others,off_manifold_ratio,boot_mean_slope,boot_sd,boot_sd_over_scale,sign_consistency
Vorticity,Inlet Pressure,29.36585064281381,0.9659468403567355,1.3547566811704097,1.5393533319207002,1.74152782787075,0.07931129418879587,0.75
Vorticity,Outlet Pressure,9.91316905878117,0.8991240849348583,0.7871296374637555,-0.1199839997136369,1.1185802668553562,0.050941505038604035,0.525
Vorticity,Cold Mass Fraction,1.0061129887470743,0.0060758471617456955,0.2507629593793552,-0.04382373939258395,0.503286273523525,0.022920268663986873,0.5
Vorticity,Nozzle Diameter,1.0058995028899425,0.005864902878461753,0.2507363534284995,0.19082435446365925,0.611819412285654,0.027862999730260404,0.625
Vorticity,Tube Diameter,4.719801438709665,0.78812668011869,0.5431276000346089,0.14115999605127563,0.8630343899653649,0.039303635177210056,0.575
Vorticity,Tube Length,11.816566540591875,0.9153730487984955,0.8593808287290287,0.28412840196397987,0.8663266840534318,0.03945357025191625,0.675
Vorticity,L/D Ratio,15.580389481600621,0.9358167521305593,0.9868000519862363,-0.4504563842125652,0.5359207393012023,0.0244064819042037,0.8
Vorticity,Reynolds Number,1.0042107295406104,0.004193073641561962,0.250525788285933,176.6308245590082,0.5714302896359209,0.02602362998994634,1.0
Vorticity,Pressure Ratio,40.49956182646234,0.9753083748341543,1.5909816511053472,1.6149787984064108,1.649929347404431,0.07513978804617334,0.85
Vorticity,Mach Number,34.52908679394532,0.9710389097178397,1.4690363932257031,7.372153672892921,2.925063647162456,0.13321095404182726,0.975
Vorticity,Swirl Number,1.0030131847683688,0.0030041327612901902,0.25037636479512804,74.80387184324736,0.6201103910860336,0.028240580982897605,1.0
Vorticity,Turbulence Intensity,1.0035244423627527,0.0035120642945721814,0.25044016779995987,0.30601901524338965,0.4858206552581845,0.022124863177917068,0.725
Helicity,Inlet Pressure,29.36585064281381,0.9659468403567355,1.3547566811704097,-14.054211936552466,83.606811670745,3.2613157494387717,0.6
Helicity,Outlet Pressure,9.91316905878117,0.8991240849348583,0.7871296374637555,6.821553317180213,50.59629387098535,1.9736488782099557,0.8
Helicity,Cold Mass Fraction,1.0061129887470743,0.0060758471617456955,0.2507629593793552,-0.25118690649040787,0.7607359658118293,0.02967461785574542,0.65
Helicity,Nozzle Diameter,1.0058995028899425,0.005864902878461753,0.2507363534284995,-1.4394269477505368,0.7226602216249873,0.028189367770176128,0.975
Helicity,Tube Diameter,4.719801438709665,0.78812668011869,0.5431276000346089,-1.4926760167036768,2.225334884255807,0.0868053638306418,0.825
Helicity,Tube Length,11.816566540591875,0.9153730487984955,0.8593808287290287,2.3654377037383676,3.1598848713681664,0.12326008002781287,0.85
Helicity,L/D Ratio,15.580389481600621,0.9358167521305593,0.9868000519862363,-2.658685050527219,3.878282215715329,0.1512831624376664,0.975
Helicity,Reynolds Number,1.0042107295406104,0.004193073641561962,0.250525788285933,66.43733493365474,0.6833104660515193,0.026654421334307888,1.0
Helicity,Pressure Ratio,40.49956182646234,0.9753083748341543,1.5909816511053472,14.848586076751682,96.88481808408663,3.7792612442091764,0.5
Helicity,Mach Number,34.52908679394532,0.9710389097178397,1.4690363932257031,11.190505607801473,4.20787489615057,0.16413983976003957,1.0
Helicity,Swirl Number,1.0030131847683688,0.0030041327612901902,0.25037636479512804,185.95250546657036,0.9737672943157865,0.03798449611674033,1.0
Helicity,Turbulence Intensity,1.0035244423627527,0.0035120642945721814,0.25044016779995987,-0.11886389140228645,0.6542257921023004,0.02551989289909583,0.575
Q-Criterion,Inlet Pressure,29.36585064281381,0.9659468403567355,1.3547566811704097,75.86525471750774,91.84987560766727,0.18603290023064364,0.85
Q-Criterion,Outlet Pressure,9.91316905878117,0.8991240849348583,0.7871296374637555,-11.235854415404907,59.26737075337889,0.12004023736941807,0.575
Q-Criterion,Cold Mass Fraction,1.0061129887470743,0.0060758471617456955,0.2507629593793552,-7.543751383500253,41.27272528566776,0.08359385066684247,0.6
Q-Criterion,Nozzle Diameter,1.0058995028899425,0.005864902878461753,0.2507363534284995,3.921762160288585,33.55220467745432,0.06795669459521786,0.55
Q-Criterion,Tube Diameter,4.719801438709665,0.78812668011869,0.5431276000346089,0.2294216022246694,39.374979250801694,0.07975015249706652,0.6
Q-Criterion,Tube Length,11.816566540591875,0.9153730487984955,0.8593808287290287,-12.097734152165774,49.87993553815427,0.10102690950956268,0.525
Q-Criterion,L/D Ratio,15.580389481600621,0.9358167521305593,0.9868000519862363,-13.363834267527114,30.133518303956098,0.061032481178125694,0.675
Q-Criterion,Reynolds Number,1.0042107295406104,0.004193073641561962,0.250525788285933,3085.379135350727,36.44874462070673,0.0738233517105615,1.0
Q-Criterion,Pressure Ratio,40.49956182646234,0.9753083748341543,1.5909816511053472,53.33992492806321,120.90904994276454,0.24488940323732558,0.8
Q-Criterion,Mach Number,34.52908679394532,0.9710389097178397,1.4690363932257031,502.1712466583373,139.45866839645842,0.2824598332055996,1.0
Q-Criterion,Swirl Number,1.0030131847683688,0.0030041327612901902,0.25037636479512804,2145.6897141025283,34.96263006225635,0.07081337265991565,1.0
Q-Criterion,Turbulence Intensity,1.0035244423627527,0.0035120642945721814,0.25044016779995987,13.912805165266537,29.65003659300427,0.060053236467103636,0.7
