target,R2_full,R2_ablated,dR2,RMSE_full,RMSE_ablated,conf_coverage_ablated,conf_width_ablated,conf_width_full
Vorticity,0.9897569652657083,0.9903554173105503,0.0005984520448419905,20.318320980270848,19.715836801190264,0.902,64.35441708941016,68.19315488713983
Helicity,0.983241520616255,0.9838830932927103,0.0006415726764552598,26.5291059141086,26.016337320043064,0.92,87.96410987451281,90.43051820175356
Q-Criterion,0.9049811498638275,0.9121161632031812,0.007135013339353735,1310.4048470148787,1260.2453683892345,0.902,4259.975297118523,4273.949516360008
