target,feature,full_grade,full_nMAE,full_sign,full_ref_snr,abl_grade,abl_nMAE,abl_sign,abl_ref_snr,abl_vs12D_grade,abl_vs12D_nMAE
Vorticity,Reynolds Number,good,0.015046025684215321,1.0,31.872169217459646,good,0.020919334628798514,1.0,31.46838105371548,good,0.016368651331537996
Vorticity,Swirl Number,good,0.032407482875748315,1.0,13.7227833356242,good,0.0395875176466249,1.0,13.557272362660045,good,0.0338386148988866
Vorticity,Mach Number,unresolved,1.06354242290359,0.69,0.37831835226961064,unresolved,0.30008522424156336,1.0,1.865313794311817,unresolved,0.9256787599539508
Helicity,Reynolds Number,good,0.15772310283877233,1.0,7.376122365496633,good,0.08678791295642033,1.0,7.772574444964805,good,0.16056899025399504
Helicity,Swirl Number,good,0.08221807051166889,1.0,21.338794871125568,good,0.037109220321987706,1.0,24.67578597524551,good,0.08503171630964684
Helicity,Mach Number,unresolved,0.6997867718863353,0.806,0.49771508985518265,unresolved,0.3991675624967405,0.974,1.361602895323677,unresolved,0.7103166590087634
Q-Criterion,Reynolds Number,good,0.04841221893514159,1.0,8.734029754431084,good,0.06735825412568294,1.0,8.742404237860136,good,0.04978141041089061
Q-Criterion,Swirl Number,good,0.1102617500479186,1.0,6.2289820533616655,good,0.09132295372074682,1.0,6.310169613025831,good,0.10622973457467501
Q-Criterion,Mach Number,unresolved,0.8454026965157098,0.75,0.44183075324648724,unresolved,0.3331014412259161,0.968,1.815044706787079,unresolved,0.8447327748348817
